Town,Year,PropertyType,NumSales,MedianSale,AvgSalesRatio
Ansonia,2022.0,Industrial,6,450000.0,0.4935
Ansonia,2022.0,Residential,301,291800.0,0.7421810662827004
Ansonia,2022.0,Vacant Land,11,42714.5,1.4370527777777777
Ansonia,2023.0,Commercial,6,450000.0,0.9980166666666667
Ansonia,2023.0,Industrial,2,1049000.0,0.36839999999999995
Ansonia,2023.0,Residential,193,302000.0,1.3004031088082901
Ansonia,2023.0,Vacant Land,3,50000.0,2.1656
Ansonia,2024.0,Apartments,2,537500.0,0.66605
Ansonia,2024.0,Commercial,3,410000.0,0.6726333333333333
Ansonia,2024.0,Industrial,2,142500.0,5.10145
Ansonia,2024.0,Residential,206,330200.0,5.333346116504854
Ansonia,2024.0,Vacant Land,9,49900.0,2.6837111111111107
Ashford,2001.0,nan,30,114200.0,0.6347980507333334
Ashford,2002.0,nan,121,114900.0,0.6277554234214877
Ashford,2003.0,nan,6,26188.0,6.406271492375
Ashford,2004.0,nan,129,142475.0,0.7367909453826611
Ashford,2005.0,nan,125,165000.0,0.53250002148
Ashford,2006.0,Condo,1,78250.0,0.402555911
Ashford,2006.0,Single Family,20,204000.0,0.50570908525
Ashford,2006.0,nan,85,168000.0,0.5662977077882353
Ashford,2007.0,Condo,6,82200.0,0.339928784
Ashford,2007.0,Single Family,50,259400.0,0.50674644598
Ashford,2007.0,Two Family,1,100000.0,1.0975
Ashford,2007.0,nan,20,78000.0,0.53473907825
Ashford,2008.0,Condo,1,76000.0,0.701315789
Ashford,2008.0,Single Family,12,210500.0,0.7378900805
Ashford,2008.0,nan,1,3850000.0,0.603558442
Ashford,2009.0,Condo,1,75000.0,0.710666667
Ashford,2009.0,Single Family,45,200000.0,0.8827510273777778
Ashford,2009.0,nan,22,78500.0,0.7841124039545455
Ashford,2010.0,Condo,2,68500.0,0.8096884335000001
Ashford,2010.0,Single Family,41,213000.0,2.2067433465365855
Ashford,2010.0,Three Family,1,126000.0,2.886507937
Ashford,2010.0,Two Family,1,20000.0,17.305
Ashford,2010.0,nan,14,142450.0,0.7994487985714286
Ashford,2011.0,Condo,3,40100.0,1.3477057940000001
Ashford,2011.0,Single Family,34,147500.0,1.9152996008529413
Ashford,2011.0,Two Family,2,116400.0,1.9587095555
Ashford,2011.0,nan,7,50000.0,4.016291454428571
Ashford,2012.0,Single Family,9,137000.0,1.0544555407777778
Ashford,2012.0,nan,1,110000.0,1.216363636
Ashford,2013.0,Single Family,44,167500.0,0.9073356903181818
Ashford,2013.0,Two Family,2,77990.5,3.0010036309999997
Ashford,2013.0,nan,7,39800.0,2.147522396
Ashford,2014.0,Condo,1,50000.0,0.866
Ashford,2014.0,Single Family,48,158900.0,0.9208277201549451
Ashford,2014.0,Two Family,1,181500.0,0.680991736
Ashford,2014.0,nan,8,28750.0,2.351749584642857
Ashford,2015.0,Condo,2,62500.0,0.7165994495
Ashford,2015.0,Single Family,46,179450.0,0.8621958248478261
Ashford,2015.0,nan,6,46350.0,1.330177647
Ashford,2016.0,Single Family,53,167000.0,0.9857588823773585
Ashford,2016.0,Two Family,2,121500.0,1.4324407115
Ashford,2016.0,nan,14,43500.0,2.6147504971428575
Ashford,2017.0,Condo,1,55000.0,0.701818182
Ashford,2017.0,Single Family,29,183000.0,0.7546177715172414
Ashford,2017.0,nan,3,3504272.0,0.8351334136666666
Ashford,2018.0,Condo,1,30000.0,1.4766
Ashford,2018.0,Single Family,62,175250.0,0.9175670338709677
Ashford,2018.0,Two Family,4,142436.015,1.046573387
Ashford,2018.0,nan,18,44500.0,1.1162048821666666
Ashford,2019.0,Condo,5,53250.0,0.7360842252
Ashford,2019.0,Single Family,55,179000.0,0.9493623732500001
Ashford,2019.0,Two Family,3,242000.0,0.6755
Ashford,2019.0,nan,15,53700.0,1.0460513923928572
Ashford,2020.0,Commercial,1,325000.0,1.1507
Ashford,2020.0,Condo,1,57000.0,0.707
Ashford,2020.0,Residential,30,248500.0,0.6970459105
Ashford,2020.0,Single Family,63,198750.0,0.7819912963055555
Ashford,2020.0,Two Family,1,217000.0,0.7161
Ashford,2020.0,Vacant Land,1,220000.0,0.2289
Ashford,2020.0,nan,5,60000.0,0.9700375
Ashford,2021.0,Apartments,4,3437512.0,0.4394
Ashford,2021.0,Commercial,3,110000.0,1.1999097643333332
Ashford,2021.0,Residential,45,245000.0,0.5823251001111112
Ashford,2021.0,Vacant Land,10,38250.0,0.8822574738
Ashford,2022.0,Commercial,1,350000.0,1.0724
Ashford,2022.0,Residential,13,270000.0,2.632230769230769
Ashford,2022.0,Vacant Land,5,90740.0,0.4407
Ashford,2023.0,Commercial,3,540000.0,0.4328
Ashford,2023.0,Industrial,1,399900.0,0.4463
Ashford,2023.0,Residential,60,345000.0,0.5403066666666666
Ashford,2023.0,Vacant Land,17,70000.0,0.4193764705882353
Ashford,2024.0,Commercial,2,470000.0,0.7159
Ashford,2024.0,Residential,26,322500.0,0.49342307692307696
Ashford,2024.0,Vacant Land,8,53950.0,0.423525
Avon,2001.0,nan,118,267500.0,0.5779407366949153
Avon,2002.0,nan,578,299450.0,0.6019638326955018
Avon,2003.0,nan,505,342000.0,0.5180530860653465
Avon,2004.0,nan,149,480950.0,0.5783268314086758
Avon,2005.0,nan,586,485000.0,0.5396834399931272
Avon,2006.0,Condo,36,257500.0,0.6091892841944444
Avon,2006.0,Single Family,59,430000.0,5.277096899644068
Avon,2006.0,nan,355,238000.0,1.6746301508036723
Avon,2007.0,Condo,109,270000.0,0.5749851248894927
Avon,2007.0,Single Family,265,469375.0,0.8016381664696719
Avon,2007.0,nan,26,527500.0,0.5045041225977444
Avon,2008.0,Condo,73,256575.0,0.5653862361991979
Avon,2008.0,Single Family,163,475250.0,1.3770647058551737
Avon,2008.0,nan,14,226500.0,0.2115036838076923
Avon,2009.0,Condo,27,258375.0,0.7686228284807692
Avon,2009.0,Single Family,76,438000.0,1.237574618210526
Avon,2009.0,nan,15,315400.0,0.9973355676
Avon,2010.0,Condo,104,199250.0,0.7658869389660194
Avon,2010.0,Single Family,182,426250.0,0.8486989101593407
